the_geom,FECHA_DE_I,TIPO_DE_IN,CODIGO_ARB,ESPECIE,NOMBRE_COM,MUNICIPIO,COMUNA,BARRIO,DIRECCION,LATITUD,LONGITUD,ESTRATO
POINT (-75.5657218 6.31237011),2023 Jan 24 12:00:00 AM,Poda de Mantenimiento,105.030.541.014,Cojoba arborea,"Carbonero zorro, cojoba, dormilón",Medellín,Castilla,Florencia,calle 121 carrera 67B-17,"6,31237011","-75,5657218",3
POINT (-75.5536925 6.28429269),2023 Jan 16 12:00:00 AM,Poda de Mantenimiento,104.010.000.381,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,Aranjuez,Berlin,Carrera 46 N 92-113,"6,28429269","-75,5536925",3
POINT (-75.5843763 6.25735766),2023 Oct 10 12:00:00 AM,Poda de Mantenimiento,111.020.320.062,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Laureles Estadio,Suramericana,Carrera 68 N 49B-19,"6,25735766","-75,5843763",3
POINT (-75.604877 6.2573572),2023 Oct 18 12:00:00 AM,Poda de Mantenimiento,112.060.000.446,Artocarpus altilis,"Arbol del pan, frutipan",Medellín,La América,Santa Lucía,Carrera 89 N 47B-08,"6,2573572","-75,604877",3
POINT (-75.5819829 6.25479727),2023 Nov 03 12:00:00 AM,Poda de Mantenimiento,111.020.000.675,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,Laureles Estadio,Suramericana,Carrera 65A N 48D-56,"6,25479727","-75,5819829",3
POINT (-75.5983787 6.2227723),2023 Sep 05 12:00:00 AM,Poda de Mantenimiento,116.120.280.128,Terminalia ivorensis,"Terminalia, almendro ovirensis",Medellín,Belén,La Gloria,"Calle 17A N 76A-04, Al frente","6,2227723","-75,5983787",3
POINT (-75.5983589 6.22277163),2023 Sep 05 12:00:00 AM,Poda de Mantenimiento,116.120.280.129,Terminalia ivorensis,"Terminalia, almendro ovirensis",Medellín,Belén,La Gloria,"Calle 17A N 76A-04, Al frente","6,22277163","-75,5983589",3
POINT (-75.5718296 6.21599555),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.020.268,Margaritaria nobilis,Ojo de paloma,Medellín,El Poblado,Villa Carlota,"Calle 14A N 43D-56, al frente","6,21599555","-75,5718296",3
POINT (-75.5716529 6.21599264),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.000.652,Diospyros virginiana,"Zapote negro, limpia dientes",Medellín,El Poblado,Villa Carlota,Carrera 43D N 14A-115,"6,21599264","-75,5716529",3
POINT (-75.5714423 6.21599164),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.000.650,Margaritaria nobilis,Ojo de paloma,Medellín,El Poblado,Villa Carlota,Carrera 43D N 14A-115,"6,21599164","-75,5714423",3
POINT (-75.5721549 6.30441106),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.040.000.005,Eucalyptus saligna,Eucalipto,Medellín,Doce de Octubre,Pedregal,Carrera 75A N 105-29,"6,30441106","-75,5721549",3
POINT (-75.5602361 6.30437478),2023 Nov 29 12:00:00 AM,Poda de Mantenimiento,105.010.000.783,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,Castilla,Toscana,Calle 111D N 64A-78,"6,30437478","-75,5602361",3
